id,work_year,experience_level,experience_label,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
194,,SE,Senior-level,FT,Data Engineer,165000,USD,165000,US,0,US,M
195,,EN,Entry-level,FT,Big Data Engineer,435000,INR,5898,IN,0,CH,L
196,2020,MI,Mid-level,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S
197,,SE,Senior-level,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
198,2020,EN,Entry-level,FT,Data Scientist,55000,EUR,62726,DE,50,DE,S
199,2020,EN,Entry-level,PT,Data Scientist,19000,EUR,21669,IT,50,IT,S
200,2020,MI,Mid-level,FT,Data Engineer,110000,USD,110000,US,100,US,L
201,,SE,Senior-level,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
202,2020,SE,Senior-level,FT,Data Scientist,120000,USD,120000,US,50,US,L
203,,SE,Senior-level,FT,Data Scientist,110000,CAD,87961,CA,100,CA,S
204,,SE,Senior-level,FT,Finance Data Analyst,45000,GBP,62250,GB,50,GB,L
205,,MI,Mid-level,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M
206,,SE,Senior-level,FT,Data Engineer,65000,EUR,77481,RO,50,GB,S
207,,MI,Mid-level,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
208,,SE,Senior-level,FT,Data Science Manager,152000,USD,152000,US,100,FR,L
209,,MI,Mid-level,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S
210,2020,SE,Senior-level,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,S
211,,MI,Mid-level,FT,Data Scientist,130000,USD,130000,US,50,US,L
212,,SE,Senior-level,FT,Computer Vision Engineer,102000,BRL,19052,BR,0,BR,M
213,,EN,Entry-level,FT,Business Data Analyst,50000,EUR,59601,LU,100,LU,L
214,,SE,Senior-level,FT,Principal Data Scientist,147000,EUR,175228,DE,100,DE,M
215,2020,SE,Senior-level,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M
216,2020,MI,Mid-level,FT,Data Scientist,34000,EUR,38776,ES,100,ES,M
217,,MI,Mid-level,FT,Data Scientist,39600,EUR,47204,ES,100,ES,M
218,,EN,Entry-level,FT,Data Scientist,4000,USD,4000,VN,0,VN,M
